goal,element,element_name,po_chemicals,po_chemicals_3nm,po_pathogens,po_nutrients,po_nutrients_3nm,po_trash,sp_alien,sp_genetic,hd_subtidal_sb,hd_subtidal_hb,hd_intertidal,fp_com_hb,fp_com_lb,fp_art_lb,fp_art_hb,fp_targetharvest,cc_sst,cc_acid,cc_uv,cc_slr,ss_wgi,ss_spi
AO,,,,1,3,,1,,1,,3,3,1,3,3,,3,,,,,,1,1
CP,coral,,,3,,,2,,1,,,3,,,,,,,3,1,1,1,1,1
CP,mangrove,,,3,,,1,,,,,,3,,,,,,,,,2,1,1
CP,saltmarsh,,,0,,,0,,0,,,,0,,,,,,,,,0,0,0
CP,seagrass,,,0,,,0,,0,,,,0,,,,,,0,0,,0,0,0
CP,seaice_shoreline,,,,,,,,,,,,,,,,,,0,,,0,0,0
CS,mangrove,,,3,,,1,,,,,,3,,,,,,,,,1,1,1
CS,saltmarsh,,,0,,,0,,0,,,,0,,,,,,,,,0,0,0
CS,seagrass,,,0,,,0,,0,,,,0,,,,,,0,0,,0,0,0
CW,,,,3,3,,3,3,,,,,,,,,,,,,,,1,1
ECO,aqf,Aquarium Trade Fishing,1,,,1,,,1,,,3,,,,2,3,,1,1,,,1,1
ECO,cf,Commercial Fishing,2,,,1,,,1,1,2,2,1,3,2,2,2,,,,,,1,1
ECO,mar,Mariculture,1,,,,3,,,,,,,,,,,,,,,1,1,1
ECO,mmw,Marine Mammal Watching,,,,,,3,,,,,,3,,,,,,,,,1,1
ECO,tour,Tourism,3,,3,,3,3,,,,,,,,,,,,,,1,1,1
ECO,wte,Wave & Tidal Energy,,,,,,,,,,,,,,,,,,,,1,1,1
FIS,,,1,,3,1,,,1,1,3,2,1,3,2,2,2,,,,,,1,1
HAB,coral,,,3,,,2,,1,,,3,,,,,3,,3,1,1,1,1,1
HAB,mangrove,,,3,,,1,,,,,,3,,,,,,,,,1,1,1
HAB,saltmarsh,,,0,,,0,,0,,,,0,,,,,,,,,0,0,0
HAB,seagrass,,,0,,,0,,0,,,,0,,,,,,0,0,,0,0,0
HAB,seaice_edge,,,,,,,,,,,,,,,,,,0,,,0,0,0
HAB,soft_bottom,,,3,,,2,,1,,3,,,3,3,3,,,,,,,1,1
ICO,,,,3,,,1,3,1,,,2,3,3,,,2,0,1,1,,,1,1
LIV,cf,Commercial Fishing,2,,,1,,,1,1,2,2,1,3,2,2,2,,,,,,1,1
LIV,mar,Mariculture,1,,,,3,,,,,,,,,,,,,,,1,1,1
LIV,mmw,Marine Mammal Watching,,,,,,2,,,,,,3,,,,,,,,,1,1
LIV,ph,Ports & Harbors,,,,,,,1,,,,,,,,,,,,,1,1,1
LIV,sb,Ship & Boat Building,,,,,,,,,,,,,,,,,,,,,1,1
LIV,tour,Tourism,3,,3,,3,3,,,,,,,,,,,,,,1,1,1
LIV,tran,Transportation & Shipping,,,,,,,1,,,,,,,,,,,,,,1,1
LIV,wte,Wave & Tidal Energy,,,,,,,,,,,,,,,,,,,,1,1,1
LSP,,,,3,3,,2,3,1,,,2,3,,,,,,,,,1,1,1
MAR,,,1,,,,3,,,,,,,,,,,,,,,1,1,1
NP,corals,,1,,,2,,,1,,,3,,,,,,,3,1,1,1,1,1
NP,fish_oil,,1,,,1,,,1,,2,,,,2,,,,1,,,,1,1
NP,ornamentals,,1,,,1,,,1,,,3,,,,2,3,,1,,,,1,1
NP,seaweeds,,2,,,2,,,1,,,,1,,,,,,1,,,,1,1
NP,shells,,,,3,1,,,1,,3,,1,,,,,,1,1,,,1,1
NP,sponges,,,,,1,,,1,,3,,,,,,1,,1,1,,,1,1
SPP,,,2,,,3,,3,1,1,3,2,2,3,3,3,2,0,1,1,1,,1,1
TR,,,,3,3,,3,3,,,,,,,,,,,,,,1,1,1
