rgn_id,year,habitat,trend
1,2005,soft_bottom,-1
1,2006,soft_bottom,-1
1,2007,soft_bottom,-0.780340528
1,2008,soft_bottom,1
1,2009,soft_bottom,1
1,2010,soft_bottom,1
1,2011,soft_bottom,1
1,2012,soft_bottom,1
1,2013,soft_bottom,0.214655563
1,2014,soft_bottom,-0.149297711
1,2015,soft_bottom,0
1,2016,soft_bottom,0.149297711
1,2017,soft_bottom,0.425710684
1,2018,soft_bottom,0
1,2019,soft_bottom,0
1,2020,soft_bottom,0
2,2005,soft_bottom,-1
2,2006,soft_bottom,-1
2,2007,soft_bottom,-0.780340528
2,2008,soft_bottom,1
2,2009,soft_bottom,1
2,2010,soft_bottom,1
2,2011,soft_bottom,1
2,2012,soft_bottom,1
2,2013,soft_bottom,0.214655563
2,2014,soft_bottom,-0.149297711
2,2015,soft_bottom,0
2,2016,soft_bottom,0.149297711
2,2017,soft_bottom,0.425710684
2,2018,soft_bottom,0
2,2019,soft_bottom,0
2,2020,soft_bottom,0
