rgn_id,year,resilience.score
6,2000,0.430003165004769
6,2001,0.430003165004769
6,2002,0.430031713316923
6,2003,0.430037885924957
6,2004,0.430037885924957
6,2005,0.430037885924957
6,2006,0.430037885924957
6,2007,0.430354232086667
6,2008,0.433901166977843
6,2009,0.433901166977843
6,2010,0.433905796433868
6,2011,0.43397832457826
6,2012,0.434377229372417
6,2013,0.434745271126407
6,2014,0.434745271126407
6,2015,0.434745271126407
6,2016,0.434745271126407
6,2017,0.434745271126407
6,2018,0.434745271126407
7,2000,0.430003165004769
7,2001,0.430003165004769
7,2002,0.430031713316923
7,2003,0.430037885924957
7,2004,0.430037885924957
7,2005,0.430037885924957
7,2006,0.430037885924957
7,2007,0.430354232086667
7,2008,0.433901166977843
7,2009,0.433901166977843
7,2010,0.433905796433868
7,2011,0.43397832457826
7,2012,0.434377229372417
7,2013,0.434745271126407
7,2014,0.434745271126407
7,2015,0.434745271126407
7,2016,0.434745271126407
7,2017,0.434745271126407
7,2018,0.434745271126407
