rgn_id,habitat,year,km2
1,mangrove,1969 ,1.44
1,mangrove_inland1km,1969 ,1.44
1,mangrove_offshore,1969 ,0
1,mangrove,1984 ,1.44
1,mangrove_inland1km,1984 ,1.44
1,mangrove_offshore,1984 ,0.00
1,mangrove,1987 ,1.44
1,mangrove_inland1km,1987 ,1.44
1,mangrove_offshore,1987 ,0
1,mangrove,1991 ,1.44
1,mangrove_inland1km,1991 ,1.44
1,mangrove_offshore,1991 ,0
1,mangrove,1995 ,1.286
1,mangrove_inland1km,1995 ,1.286
1,mangrove_offshore,1995 ,0
1,mangrove,1999 ,0.3686
1,mangrove_inland1km,1999 ,0.3686
1,mangrove_offshore,1999 ,0
1,mangrove, 2006 ,0.32
1,mangrove_inland1km, 2006 ,0.32
1,mangrove_offshore, 2006 ,0
1,mangrove,2016 ,0.30
1,mangrove_inland1km,2016 ,0.30
1,mangrove_offshore,2016 ,0
2,mangrove,1969 ,143.575
2,mangrove_inland1km,1969 ,143.575
2,mangrove_offshore,1969 ,0
2,mangrove,1984 ,96.025
2,mangrove_inland1km,1984 ,96.025
2,mangrove_offshore,1984 ,0
2,mangrove,1987 ,76.17
2,mangrove_inland1km,1987 ,76.17
2,mangrove_offshore,1987 ,0
2,mangrove,1991 ,65.3052
2,mangrove_inland1km,1991 ,65.3052
2,mangrove_offshore,1991 ,0
2,mangrove,1995 ,40.3832
2,mangrove_inland1km,1995 ,40.3832
2,mangrove_offshore,1995 ,0
2,mangrove,1999 ,24.1489
2,mangrove_inland1km,1999 ,24.1489
2,mangrove_offshore,1999 ,0
2,mangrove, 2006 ,34.02
2,mangrove_inland1km, 2006 ,34.02
2,mangrove_offshore, 2006 ,0
2,mangrove,2016 ,28.05
2,mangrove_inland1km,2016 ,28.05
2,mangrove_offshore,2016 ,0
