rgn_id,year,a_prot_1km
6,2000,1628.25
6,2001,1635.75
6,2002,1651
6,2003,1658.75
6,2004,1658.75
6,2005,1658.75
6,2006,1658.75
6,2007,1674.75
6,2008,1701.5
6,2009,1701.5
6,2010,1710.25
6,2011,1710.25
6,2012,1712
6,2013,1715.25
6,2014,1715.25
6,2015,1715.25
6,2016,1715.25
6,2017,1715.25
6,2018,1715.25
7,2000,1628.25
7,2001,1635.75
7,2002,1651
7,2003,1658.75
7,2004,1658.75
7,2005,1658.75
7,2006,1658.75
7,2007,1674.75
7,2008,1701.5
7,2009,1701.5
7,2010,1710.25
7,2011,1710.25
7,2012,1712
7,2013,1715.25
7,2014,1715.25
7,2015,1715.25
7,2016,1715.25
7,2017,1715.25
7,2018,1715.25
