rgn_id,year,resilience.score
1,2000,0.008715151
1,2001,0.008715151
1,2002,0.008715151
1,2003,0.008715151
1,2004,0.008715151
1,2005,0.008715151
1,2006,0.008715151
1,2007,0.008719132
1,2008,0.008720127
1,2009,0.014214115
1,2010,0.0142171
1,2011,0.016035162
1,2012,0.016035162
1,2013,0.016035162
1,2014,0.016035162
1,2015,0.016035162
1,2016,0.016035162
1,2017,0.016035162
1,2018,0.016035162
1,2019,0.016035162
1,2020,0.016035162
1,1800,0
1,1838,0
1,1840,0
1,1858,0
1,1864,0
1,1865,0
1,1867,0
1,1872,0
1,1875,0
1,1878,0
1,1881,0
1,1883,0
1,1884,0
1,1885,0
1,1886,0
1,1887,0
1,1888,0
1,1889,0
1,1890,0
1,1891,0
1,1892,0
1,1893,0
1,1894,0
1,1895,0
1,1896,0
1,1897,0
1,1898,0
1,1899,0
1,1900,0
1,1901,0
1,1902,0
1,1903,0
1,1904,0
1,1905,0
1,1906,0
1,1907,0
1,1908,0
1,1909,0
1,1910,0
1,1911,0
1,1912,0
1,1913,0
1,1914,0
1,1915,0
1,1916,0
1,1917,0
1,1918,0
1,1919,0
1,1920,0
1,1921,0
1,1922,0
1,1923,0
1,1924,0
1,1925,0
1,1926,0
1,1927,0
1,1928,0
1,1929,0
1,1930,0
1,1931,0
1,1932,0
1,1933,0
1,1934,0
1,1935,0
1,1936,0
1,1937,0
1,1938,0
1,1939,0
1,1940,0
1,1941,0
1,1942,0
1,1943,0
1,1944,0
1,1945,0
1,1946,0
1,1947,0
1,1948,0
1,1949,0
1,1950,0
1,1951,0
1,1952,0
1,1953,0
1,1954,0
1,1955,0
1,1956,0
1,1957,0
1,1958,0
1,1959,0
1,1960,0
1,1961,0
1,1962,0
1,1963,0
1,1964,0
1,1965,0
1,1966,0
1,1967,0
1,1968,0
1,1969,0
1,1970,0
1,1971,0
1,1972,0
1,1973,0
1,1974,0
1,1975,0.00870122
1,1976,0.00870122
1,1977,0.00870122
1,1978,0.00870122
1,1979,0.00870122
1,1980,0.00870122
1,1981,0.00870122
1,1982,0.00870122
1,1983,0.00870122
1,1984,0.008702215
1,1985,0.008702215
1,1986,0.008702215
1,1987,0.008702215
1,1988,0.008715151
1,1989,0.008715151
1,1990,0.008715151
1,1991,0.008715151
1,1992,0.008715151
1,1993,0.008715151
1,1994,0.008715151
1,1995,0.008715151
1,1996,0.008715151
1,1997,0.008715151
1,1998,0.008715151
1,1999,0.008715151
2,2000,0.008715151
2,2001,0.008715151
2,2002,0.008715151
2,2003,0.008715151
2,2004,0.008715151
2,2005,0.008715151
2,2006,0.008715151
2,2007,0.008719132
2,2008,0.008720127
2,2009,0.014214115
2,2010,0.0142171
2,2011,0.016035162
2,2012,0.016035162
2,2013,0.016035162
2,2014,0.016035162
2,2015,0.016035162
2,2016,0.016035162
2,2017,0.016035162
2,2018,0.016035162
2,2019,0.016035162
2,2020,0.016035162
2,1800,0
2,1838,0
2,1840,0
2,1858,0
2,1864,0
2,1865,0
2,1867,0
2,1872,0
2,1875,0
2,1878,0
2,1881,0
2,1883,0
2,1884,0
2,1885,0
2,1886,0
2,1887,0
2,1888,0
2,1889,0
2,1890,0
2,1891,0
2,1892,0
2,1893,0
2,1894,0
2,1895,0
2,1896,0
2,1897,0
2,1898,0
2,1899,0
2,1900,0
2,1901,0
2,1902,0
2,1903,0
2,1904,0
2,1905,0
2,1906,0
2,1907,0
2,1908,0
2,1909,0
2,1910,0
2,1911,0
2,1912,0
2,1913,0
2,1914,0
2,1915,0
2,1916,0
2,1917,0
2,1918,0
2,1919,0
2,1920,0
2,1921,0
2,1922,0
2,1923,0
2,1924,0
2,1925,0
2,1926,0
2,1927,0
2,1928,0
2,1929,0
2,1930,0
2,1931,0
2,1932,0
2,1933,0
2,1934,0
2,1935,0
2,1936,0
2,1937,0
2,1938,0
2,1939,0
2,1940,0
2,1941,0
2,1942,0
2,1943,0
2,1944,0
2,1945,0
2,1946,0
2,1947,0
2,1948,0
2,1949,0
2,1950,0
2,1951,0
2,1952,0
2,1953,0
2,1954,0
2,1955,0
2,1956,0
2,1957,0
2,1958,0
2,1959,0
2,1960,0
2,1961,0
2,1962,0
2,1963,0
2,1964,0
2,1965,0
2,1966,0
2,1967,0
2,1968,0
2,1969,0
2,1970,0
2,1971,0
2,1972,0
2,1973,0
2,1974,0
2,1975,0.00870122
2,1976,0.00870122
2,1977,0.00870122
2,1978,0.00870122
2,1979,0.00870122
2,1980,0.00870122
2,1981,0.00870122
2,1982,0.00870122
2,1983,0.00870122
2,1984,0.008702215
2,1985,0.008702215
2,1986,0.008702215
2,1987,0.008702215
2,1988,0.008715151
2,1989,0.008715151
2,1990,0.008715151
2,1991,0.008715151
2,1992,0.008715151
2,1993,0.008715151
2,1994,0.008715151
2,1995,0.008715151
2,1996,0.008715151
2,1997,0.008715151
2,1998,0.008715151
2,1999,0.008715151
