rgn_id,year,resilience_score
1,1996,0.410882909068217
1,1998,0.429417047401269
1,2000,0.3778039102753
1,2002,0.369376033047835
1,2003,0.363363226503134
1,2004,0.361271159350872
1,2005,0.353359719117483
1,2006,0.33330448170503
1,2007,0.340224568049113
1,2008,0.3396830757459
1,2009,0.331008025010427
1,2010,0.34392157793045
1,2011,0.349781241019567
1,2012,0.363287791609764
1,2013,0.386652497947216
1,2014,0.382849664675693
1,2015,0.378150589267413
1,2016,0.394589311381181
2,1996,0.410882909068217
2,1998,0.429417047401269
2,2000,0.3778039102753
2,2002,0.369376033047835
2,2003,0.363363226503134
2,2004,0.361271159350872
2,2005,0.353359719117483
2,2006,0.33330448170503
2,2007,0.340224568049113
2,2008,0.3396830757459
2,2009,0.331008025010427
2,2010,0.34392157793045
2,2011,0.349781241019567
2,2012,0.363287791609764
2,2013,0.386652497947216
2,2014,0.382849664675693
2,2015,0.378150589267413
2,2016,0.394589311381181
